,cid
1439,114917
1440,16352466
1441,9179325
1442,20925157
1443,122244035
1444,859799
1445,134161856
1446,2929523
1447,75448534
1448,50977602
1449,75061377
1450,110250545
1451,2867623
1452,72868362
1453,459001
1454,121151350
1455,1223926
1456,1445373
1457,124047753
1458,20889877
1459,110150864
1460,754522
1461,70721902
1462,80185
1463,15987937
1464,74232378
1465,4451510
1466,20939978
1467,2382010
1468,110259061
1469,1118253
1470,45979512
1471,20962462
1472,4983332
1473,2824005
1474,57855451
1475,110086587
1476,68165256
1477,666929
1478,52479207
1479,748215
1480,46290999
1481,110100504
1482,84596853
1483,763786
1484,4218378
1485,86818321
1486,18101744
1487,702850
1488,110252194
1489,75498351
1490,8901000
1491,46331573
1492,887098
1493,681107
1494,3593
1495,121520863
1496,16641023
1497,53097881
1498,4894238
1499,20899398
1500,2826673
1501,2970284
1502,12550335
1503,20905369
1504,71447608
1505,50765749
1506,9211555
1507,16932434
1508,3739714
1509,74734267
1510,1486118
1511,24248035
1512,20916348
1513,126941910
1514,7427008
1515,1050335
1516,17505308
1517,17476998
1518,20897088
1519,2155659
1520,124217841
1521,3254649
1522,705733
1523,46494831
1524,10701825
1525,86805454
1526,1040453
1527,5228094
1528,72900996
1529,979543
1530,136881577
1531,95799191
1532,73440066
1533,5275726
1534,71911533
1535,3239341
1536,6471441
1537,84598236
1538,45154221
1539,50791582
1540,716331
1541,3444380
1542,45812838
1543,110109561
1544,3536303
1545,24884503
1546,72011808
1547,1487984
1548,71920736
1549,22422736
1550,21879626
1551,87052144
1552,129596189
1553,2285676
1554,1142837
1555,4633677
1556,2791280
1557,17413043
1558,119101917
1559,46982007
1560,592238
1561,25531030
1562,156610183
1563,438674
1564,119037584
1565,817160
1566,46970686
1567,71687197
1568,131890301
1569,20910963
1570,42197933
1571,45245486
1572,45872023
1573,71995876
1574,762542
1575,22109064
1576,46364542
1577,17433025
1578,92637823
1579,110166814
1580,91893601
1581,6603931
1582,4144260
1583,3188472
1584,74419713
1585,6485905
1586,284562
1587,9584431
1588,5715954
1589,2821979
1590,7287163
1591,17470501
1592,135966336
1593,684123
1594,2542438
1595,126855328
1596,71892849
1597,122559731
1598,1331522
1599,127265335
1600,86791967
1601,2093128
1602,543053
1603,21179596
1604,56696331
1605,17383815
1606,766673
1607,6467503
1608,22744704
1609,1213224
1610,3730330
1611,666737
1612,16022242
1613,2176259
1614,46273354
1615,703119
1616,2497035
1617,102562758
1618,38879434
1619,17449510
1620,3678554
1621,53158925
1622,621602
1623,42525784
1624,46921482
1625,7917814
1626,91888965
1627,2768944
1628,121018669
1629,46962177
1630,945646
1631,5240562
1632,53148124
1633,86819170
1634,306299
1635,1025603
1636,16415948
1637,1893514
1638,20968843
1639,17173267
1640,1237069
1641,858165
1642,20921558
1643,53060058
1644,3640770
1645,9629166
1646,5883113
1647,3361237
1648,16285241
1649,47152463
1650,3770491
1651,765936
1652,7286764
1653,2857441
1654,53095978
1655,50816827
1656,2879429
1657,22516074
1658,1068497
1659,29566
1660,121533319
1661,103672
1662,988667
1663,1070643
1664,1621744
1665,6962989
1666,1070644
1667,1621743
1668,18582825
1669,2854
1670,20939843
1671,16012988
1672,118986645
1673,74505953
1674,16012060
1675,47006816
1676,53201190
